timestamp,bearing_1,bearing_2,bearing_3,bearing_4
19435580,0.024,0.251,-0.090,0.037
19435581,0.054,0.354,-0.066,0.068
19435582,0.066,0.300,-0.100,-0.022
19435583,0.098,0.161,-0.037,-0.105
19435584,0.029,0.271,-0.066,-0.056
19435585,-0.100,0.100,-0.046,-0.002
19435586,-0.100,0.142,-0.093,0.107
19435587,0.015,0.051,0.002,0.073
19435588,-0.051,0.151,0.059,0.022
19435589,-0.244,-0.022,-0.093,-0.010
19435590,-0.461,-0.020,0.022,0.039
19435591,-0.251,-0.146,0.117,0.051
19435592,0.178,-0.103,0.200,0.120
19435593,0.051,0.095,0.015,0.107
19435594,-0.391,0.044,0.076,0.100
19435595,-0.315,-0.115,0.117,0.046
19435596,0.088,0.083,0.198,-0.034
19435597,0.271,0.068,0.000,-0.012
19435598,0.103,0.171,0.022,0.046
19435599,-0.166,0.007,0.149,-0.037
19435600,-0.112,-0.105,0.205,-0.017
19435601,0.437,0.076,0.078,-0.027
19435602,0.374,0.103,0.095,-0.059
19435603,0.034,0.098,0.144,-0.117
19435604,0.054,0.103,0.100,-0.066
19435605,0.125,0.142,0.161,-0.110
19435606,0.190,0.059,-0.017,-0.046
19435607,-0.005,-0.132,0.132,-0.071
19435608,-0.142,-0.186,0.178,-0.186
19435609,-0.164,-0.225,-0.071,-0.171
19435610,-0.305,-0.132,-0.176,-0.090
19435611,-0.173,-0.247,0.029,0.037
19435612,-0.227,-0.269,0.044,0.100
19435613,-0.310,-0.200,0.034,-0.078
19435614,-0.051,-0.203,-0.002,-0.095
19435615,0.134,-0.151,-0.061,-0.029
19435616,0.017,-0.129,0.100,0.129
19435617,-0.210,-0.071,-0.103,0.046
19435618,-0.137,0.076,-0.186,0.015
19435619,-0.024,0.078,-0.256,-0.134
19435620,0.024,-0.051,-0.129,-0.195
19435621,0.029,0.171,-0.264,-0.134
19435622,0.037,0.190,-0.181,-0.073
19435623,0.090,0.247,-0.071,-0.088
19435624,0.215,0.171,-0.063,-0.034
19435625,0.083,0.205,-0.081,-0.078
19435626,0.085,0.007,0.063,-0.088
19435627,0.142,0.054,0.076,0.029
19435628,0.132,0.000,0.076,0.046
19435629,0.078,-0.024,0.142,0.066
19435630,-0.088,-0.059,0.095,0.156
19435631,-0.186,-0.173,0.125,0.085
19435632,-0.112,-0.085,0.046,0.073
19435633,-0.078,-0.156,0.144,0.117
19435634,-0.051,-0.046,0.129,0.088
19435635,0.059,0.010,0.232,0.107
19435636,0.129,0.054,0.063,0.134
19435637,0.029,0.007,-0.051,0.039
19435638,0.010,0.076,-0.112,-0.049
19435639,0.066,0.168,-0.049,-0.032
19435640,0.176,0.186,-0.149,-0.027
19435641,0.020,0.164,-0.298,-0.073
19435642,-0.132,0.056,-0.156,-0.073
19435643,-0.181,0.098,-0.071,-0.027
19435644,-0.195,0.115,-0.071,-0.010
19435645,-0.156,0.166,-0.310,-0.117
19435646,0.034,0.120,-0.217,-0.137
19435647,-0.039,0.034,-0.266,-0.127
19435648,-0.103,-0.010,-0.027,-0.029
19435649,-0.122,-0.034,-0.132,-0.002
19435650,-0.071,-0.027,-0.181,-0.078
19435651,-0.017,0.010,-0.085,-0.076
19435652,-0.007,-0.022,0.015,-0.076
19435653,-0.100,-0.076,0.051,-0.015
19435654,-0.120,-0.205,0.054,-0.012
19435655,-0.073,-0.103,0.200,0.007
19435656,0.085,-0.039,0.076,0.027
19435657,0.188,-0.051,0.227,0.071
19435658,0.334,-0.029,0.132,0.049
19435659,0.259,0.039,0.229,0.034
19435660,0.105,0.042,0.142,0.034
19435661,0.164,0.073,0.139,0.044
19435662,0.129,0.059,0.063,0.059
19435663,0.110,0.066,0.203,-0.007
19435664,0.029,0.012,0.137,-0.034
19435665,-0.112,0.142,0.027,-0.017
19435666,-0.117,-0.059,0.183,0.063
19435667,-0.076,0.010,0.044,0.156
19435668,-0.046,0.164,0.037,0.144
19435669,-0.027,0.166,-0.017,-0.012
19435670,-0.024,0.061,-0.051,-0.015
19435671,0.020,0.022,-0.212,0.056
19435672,-0.015,-0.073,0.024,0.242
19435673,0.037,0.000,0.117,0.161
19435674,0.029,0.063,0.134,0.012
19435675,-0.173,0.015,-0.083,-0.037
19435676,-0.349,-0.024,-0.066,0.007
19435677,-0.005,-0.112,0.029,-0.017
19435678,0.315,-0.017,0.000,-0.020
19435679,0.195,0.034,-0.081,-0.049
19435680,-0.190,0.022,-0.066,-0.076
19435681,-0.088,0.039,0.181,-0.054
19435682,0.134,-0.027,0.139,0.103
19435683,0.203,0.012,-0.015,0.022
19435684,-0.239,-0.171,-0.063,0.085
19435685,-0.530,-0.020,0.144,0.015
19435686,-0.032,-0.007,0.017,-0.073
19435687,0.391,-0.247,0.134,-0.044
19435688,-0.020,-0.078,0.161,0.037
19435689,-0.325,0.090,0.034,-0.156
19435690,0.146,0.061,0.010,-0.173
19435691,0.278,-0.234,0.068,-0.154
19435692,0.339,-0.081,-0.142,0.037
19435693,-0.012,0.017,-0.027,-0.027
19435694,-0.142,0.100,0.256,-0.107
19435695,0.093,-0.044,0.122,-0.217
19435696,0.144,-0.095,-0.100,-0.081
19435697,0.056,-0.005,0.054,0.024
19435698,-0.359,-0.005,0.173,0.049
19435699,-0.286,0.095,-0.171,-0.144
19435700,0.203,-0.056,-0.081,-0.205
19435701,0.217,-0.115,-0.042,-0.100
19435702,-0.151,-0.146,0.000,0.046
19435703,-0.286,0.042,-0.366,-0.010
19435704,0.056,0.269,-0.059,-0.039
19435705,0.156,0.154,0.112,-0.144
19435706,0.154,0.176,-0.166,-0.137
19435707,0.076,0.256,-0.225,-0.161
19435708,0.059,0.093,0.046,-0.063
19435709,0.071,0.037,-0.146,-0.020
19435710,0.095,0.098,-0.090,-0.015
19435711,0.068,0.132,0.005,0.042
19435712,0.212,0.000,-0.144,0.129
19435713,0.398,0.059,0.129,0.120
19435714,0.227,0.005,0.073,0.142
19435715,-0.168,-0.007,0.303,0.273
19435716,-0.137,-0.049,0.083,0.173
19435717,0.159,-0.186,0.127,0.061
19435718,0.071,-0.085,0.046,0.022
19435719,-0.203,-0.081,0.103,0.054
19435720,-0.161,-0.061,-0.088,0.056
19435721,-0.010,-0.020,-0.078,0.112
19435722,0.129,-0.056,-0.051,0.090
19435723,0.193,-0.127,-0.081,0.100
19435724,0.117,-0.132,-0.027,0.037
19435725,0.051,-0.059,-0.088,0.022
19435726,0.073,-0.093,-0.029,0.022
19435727,0.166,-0.005,-0.352,-0.002
19435728,-0.039,0.022,-0.227,0.002
19435729,-0.330,-0.046,-0.276,0.005
19435730,-0.276,-0.288,-0.217,-0.095
19435731,0.017,-0.105,-0.295,-0.149
19435732,0.007,0.051,-0.232,-0.068
19435733,0.020,0.027,-0.146,0.012
19435734,0.049,-0.042,-0.149,-0.020
19435735,0.117,-0.088,-0.161,-0.095
19435736,0.127,0.056,-0.115,-0.081
19435737,-0.007,-0.061,-0.051,-0.151
19435738,0.103,-0.122,-0.051,-0.046
19435739,0.083,-0.110,0.037,0.034
19435740,-0.027,-0.205,0.039,0.076
19435741,0.002,-0.112,0.229,0.020
19435742,0.020,0.042,0.073,-0.002
19435743,0.081,-0.032,0.090,0.027
19435744,0.215,-0.193,0.039,0.063
19435745,0.127,-0.020,0.203,0.068
19435746,0.105,0.012,0.146,0.010
19435747,0.100,-0.005,-0.024,0.046
19435748,0.039,-0.188,0.068,0.037
19435749,0.107,-0.010,0.012,0.007
19435750,0.081,-0.049,0.005,0.007
19435751,0.022,0.061,-0.076,0.017
19435752,-0.127,0.115,-0.056,0.066
19435753,-0.078,0.088,-0.146,0.046
19435754,0.059,0.083,-0.044,0.042
19435755,0.083,0.005,-0.242,0.024
19435756,-0.029,0.134,-0.139,0.037
19435757,-0.054,0.249,-0.039,0.010
19435758,0.117,0.242,0.005,0.042
19435759,0.244,0.071,-0.107,0.083
19435760,0.054,0.244,-0.142,0.056
19435761,-0.146,0.146,-0.061,0.000
19435762,-0.115,-0.107,0.022,-0.039
19435763,0.166,0.010,0.115,0.032
19435764,0.125,0.059,-0.083,0.093
19435765,-0.100,0.024,0.049,0.056
19435766,-0.432,-0.120,0.249,-0.022
19435767,-0.171,-0.186,0.259,0.002
19435768,0.378,-0.098,-0.015,0.093
19435769,0.249,-0.002,0.129,0.166
19435770,-0.242,-0.098,0.132,0.107
19435771,-0.520,-0.095,0.076,0.012
19435772,-0.017,-0.139,0.085,-0.024
19435773,0.312,-0.195,0.181,-0.015
19435774,0.139,-0.007,0.071,0.002
19435775,0.002,0.007,-0.208,-0.061
19435776,-0.007,-0.044,0.027,-0.081
19435777,-0.073,0.024,0.024,-0.054
19435778,0.042,0.056,-0.044,0.015
19435779,0.127,0.076,-0.107,0.015
19435780,-0.166,0.022,0.115,-0.015
19435781,-0.090,-0.103,-0.264,-0.144
19435782,0.320,-0.068,0.090,-0.059
19435783,-0.347,-0.222,-0.198,-0.034
19435784,-0.625,-0.215,-0.366,-0.098
19435785,-0.093,-0.120,0.085,-0.156
19435786,0.356,-0.144,0.193,-0.083
19435787,0.186,-0.166,0.063,0.044
19435788,-0.225,-0.129,-0.237,0.073
19435789,-0.151,0.046,-0.232,-0.020
19435790,0.110,0.027,-0.122,-0.046
19435791,0.210,-0.068,0.005,-0.117
19435792,0.112,-0.059,-0.239,-0.120
19435793,-0.139,0.054,-0.173,-0.144
19435794,-0.137,0.059,-0.120,-0.088
19435795,0.273,-0.076,0.061,-0.042
19435796,0.269,0.002,-0.034,0.068
19435797,0.039,0.139,0.027,0.093
19435798,0.095,0.171,0.176,0.107
19435799,0.278,-0.027,0.151,0.095
19435800,0.361,0.027,-0.056,0.093
19435801,0.046,-0.088,0.034,0.193
19435802,-0.142,-0.159,0.164,0.195
19435803,-0.056,-0.149,0.002,0.112
19435804,0.000,0.066,-0.049,0.081
19435805,-0.063,0.090,0.042,0.107
19435806,-0.161,-0.007,0.312,0.181
19435807,-0.127,-0.022,0.054,0.161
19435808,0.176,-0.071,-0.186,0.164
19435809,0.144,0.002,-0.303,0.151
19435810,-0.032,-0.176,0.027,0.078
19435811,-0.049,-0.054,-0.068,0.056
19435812,-0.051,-0.046,-0.320,0.068
19435813,-0.002,-0.068,-0.381,0.066
19435814,-0.132,-0.010,-0.032,0.037
19435815,-0.229,0.005,-0.156,-0.056
19435816,-0.107,0.042,-0.239,-0.071
19435817,0.034,0.027,-0.247,-0.022
19435818,-0.081,-0.054,-0.203,0.032
19435819,-0.083,0.000,-0.046,-0.054
19435820,-0.083,0.073,-0.242,-0.093
19435821,-0.081,0.054,-0.286,-0.122
19435822,-0.012,0.122,-0.261,-0.098
19435823,0.024,0.071,-0.005,-0.046
19435824,0.068,0.042,0.017,-0.034
19435825,-0.007,0.022,0.090,-0.066
19435826,-0.076,-0.027,0.056,0.012
19435827,0.093,-0.029,0.098,0.042
19435828,0.205,-0.005,0.164,-0.024
19435829,0.078,-0.286,0.190,-0.059
19435830,-0.115,-0.144,0.046,-0.129
19435831,0.020,-0.029,0.183,-0.034
19435832,0.181,-0.083,0.308,0.081
19435833,0.117,0.049,0.068,0.105
19435834,0.032,-0.107,0.039,0.039
19435835,-0.054,0.002,0.010,-0.056
19435836,0.029,-0.132,0.088,0.005
19435837,0.127,0.037,-0.186,0.037
19435838,-0.046,0.107,-0.117,0.171
19435839,-0.103,0.112,0.020,0.063
19435840,0.022,0.088,0.051,0.010
19435841,0.081,0.098,-0.142,-0.051
19435842,0.007,0.093,-0.242,-0.007
19435843,-0.020,-0.063,-0.076,0.005
19435844,0.034,0.061,0.046,0.012
19435845,0.022,0.007,-0.012,0.007
19435846,-0.220,0.132,-0.286,0.017
19435847,-0.312,0.085,-0.020,-0.044
19435848,-0.151,-0.022,0.183,-0.017
19435849,0.029,-0.083,0.042,0.039
19435850,-0.061,-0.205,-0.095,0.076
19435851,-0.105,-0.015,0.085,0.156
19435852,-0.371,0.039,0.193,0.098
19435853,-0.085,-0.032,0.134,0.076
19435854,0.281,-0.173,0.117,-0.007
19435855,0.273,-0.029,0.037,-0.059
19435856,-0.168,0.156,0.149,-0.046
19435857,-0.312,-0.056,0.056,-0.007
19435858,-0.146,-0.164,0.046,-0.020
19435859,0.220,-0.071,0.042,-0.090
19435860,0.298,0.215,0.103,-0.034
19435861,0.054,0.225,-0.100,-0.022
19435862,0.095,-0.029,0.020,-0.010
19435863,0.105,-0.063,0.159,0.056
19435864,0.164,0.098,0.076,-0.044
19435865,0.002,0.061,-0.117,-0.112
19435866,0.020,0.029,0.051,-0.178
19435867,-0.205,-0.039,0.159,-0.186
19435868,0.039,0.029,-0.027,-0.088
19435869,-0.071,-0.198,0.022,0.078
19435870,-0.269,-0.125,-0.039,0.051
19435871,-0.107,-0.027,0.022,-0.044
19435872,-0.020,-0.232,0.049,-0.054
19435873,-0.107,-0.161,0.054,0.024
19435874,-0.269,-0.073,-0.151,0.027
19435875,-0.171,-0.046,-0.073,-0.063
19435876,0.081,0.005,-0.073,-0.139
19435877,0.125,0.071,-0.176,-0.127
19435878,-0.017,0.176,-0.142,-0.125
19435879,-0.081,0.183,-0.127,-0.110
19435880,0.081,0.215,0.239,-0.142
19435881,0.430,0.093,-0.342,-0.129
19435882,0.461,0.281,-0.200,-0.076
19435883,0.210,0.208,0.417,0.000
19435884,0.098,0.203,0.183,0.032
19435885,0.190,0.232,-0.220,-0.037
19435886,0.168,0.073,0.010,0.034
19435887,-0.002,0.012,0.310,0.095
19435888,-0.120,-0.078,0.151,0.071
19435889,-0.125,-0.127,0.203,0.083
19435890,-0.117,-0.022,0.342,0.049
19435891,-0.061,-0.166,0.159,0.137
19435892,0.000,-0.100,0.129,0.129
19435893,-0.056,-0.125,0.125,0.161
19435894,0.044,-0.039,0.063,0.151
19435895,0.034,-0.073,-0.032,0.098
19435896,-0.017,0.024,-0.044,0.066
19435897,0.027,-0.039,0.010,0.059
19435898,0.120,-0.100,-0.120,-0.037
19435899,0.059,0.117,-0.173,-0.049
19435900,-0.027,0.098,-0.168,-0.037
19435901,-0.049,0.186,-0.127,-0.037
19435902,-0.049,0.081,-0.193,-0.051
19435903,-0.034,0.134,-0.183,-0.071
19435904,0.002,0.156,-0.256,-0.117
19435905,-0.005,0.125,-0.120,-0.122
19435906,-0.022,-0.020,-0.154,-0.125
19435907,-0.027,0.039,-0.159,-0.100
19435908,-0.066,0.093,-0.049,-0.159
19435909,-0.134,0.027,0.085,-0.144
19435910,-0.198,-0.017,0.115,-0.117
19435911,-0.142,-0.159,-0.015,-0.044
19435912,-0.088,-0.232,0.132,0.029
19435913,-0.117,-0.168,0.276,0.032
19435914,-0.046,-0.115,0.234,0.005
19435915,-0.007,-0.044,0.090,-0.002
19435916,0.051,-0.115,0.154,0.007
19435917,0.146,-0.154,0.242,0.029
19435918,0.142,-0.051,0.234,-0.042
19435919,0.044,-0.007,0.049,-0.066
19435920,-0.046,0.000,-0.012,-0.061
19435921,-0.066,0.137,0.127,0.029
19435922,0.115,0.173,0.029,-0.017
19435923,0.117,0.234,-0.088,-0.083
19435924,-0.022,0.090,-0.281,-0.039
19435925,-0.107,0.098,-0.066,-0.039
19435926,-0.107,0.159,-0.085,-0.037
19435927,0.020,0.132,0.105,-0.029
19435928,0.007,0.046,-0.286,-0.032
19435929,-0.156,0.076,-0.049,0.034
19435930,-0.205,0.063,0.110,-0.042
19435931,-0.059,0.015,-0.076,0.051
19435932,-0.088,-0.007,-0.205,0.073
19435933,-0.232,-0.063,0.034,0.076
19435934,-0.391,-0.020,0.117,0.049
19435935,-0.151,-0.127,-0.032,0.044
19435936,0.049,-0.125,-0.168,0.017
19435937,0.000,0.088,0.002,0.093
19435938,-0.183,-0.068,0.171,-0.017
19435939,-0.349,0.017,-0.129,-0.015
19435940,-0.083,0.046,0.059,-0.088
19435941,0.415,-0.056,0.132,-0.044
19435942,0.266,-0.071,0.112,-0.017
19435943,-0.110,0.164,-0.044,-0.029
19435944,-0.242,0.105,-0.134,-0.051
19435945,-0.173,0.007,0.076,-0.095
19435946,0.176,0.037,0.203,-0.044
19435947,0.173,0.210,0.037,-0.068
19435948,-0.044,0.142,-0.149,-0.042
19435949,0.066,-0.032,0.044,-0.061
19435950,0.090,-0.125,0.073,-0.078
19435951,0.071,-0.039,0.073,-0.056
19435952,-0.044,0.085,-0.056,-0.005
19435953,-0.122,-0.081,0.088,0.007
19435954,-0.288,-0.151,0.146,-0.007
19435955,-0.261,-0.039,0.127,-0.032
19435956,0.061,-0.122,-0.037,0.083
19435957,-0.176,-0.171,-0.010,0.046
19435958,-0.469,-0.027,-0.012,-0.051
19435959,-0.059,-0.171,-0.054,0.090
19435960,0.166,-0.142,-0.015,0.125
19435961,0.042,-0.054,-0.015,0.083
19435962,-0.139,0.083,-0.161,-0.044
19435963,0.093,0.186,-0.176,-0.144
19435964,0.110,0.217,-0.139,-0.132
19435965,0.017,0.276,-0.166,-0.066
19435966,-0.032,0.203,-0.269,-0.027
19435967,0.002,0.195,-0.273,-0.139
19435968,0.139,0.061,-0.088,-0.156
19435969,0.171,0.171,-0.137,-0.095
19435970,0.022,0.227,0.044,0.068
19435971,-0.049,0.122,0.115,0.112
19435972,0.164,-0.002,0.093,0.007
19435973,0.176,-0.110,0.066,0.066
19435974,-0.005,-0.098,0.168,0.098
19435975,-0.154,-0.190,0.198,0.056
19435976,-0.186,-0.115,0.122,0.164
19435977,-0.186,-0.139,0.166,0.173
19435978,-0.171,-0.044,0.098,0.088
19435979,-0.190,-0.122,0.200,0.042
19435980,-0.107,-0.027,0.210,0.112
19435981,0.117,0.049,0.081,0.107
19435982,0.156,0.046,-0.088,0.056
19435983,0.105,0.081,0.017,-0.002
19435984,0.005,0.090,-0.054,-0.005
19435985,0.066,0.166,-0.112,-0.042
19435986,0.105,0.200,-0.100,-0.027
19435987,0.020,0.105,-0.117,-0.049
19435988,-0.127,0.061,-0.161,-0.061
19435989,-0.139,0.220,-0.203,-0.117
19435990,-0.056,0.188,-0.144,-0.027
19435991,0.000,0.159,-0.066,0.015
19435992,-0.203,0.002,-0.115,-0.012
19435993,-0.146,-0.093,-0.154,-0.107
19435994,-0.056,-0.071,0.024,-0.095
19435995,-0.081,-0.054,-0.081,-0.024
19435996,-0.068,0.139,0.049,-0.098
19435997,-0.068,0.000,0.066,-0.071
19435998,0.085,-0.107,0.042,-0.095
19435999,0.061,-0.100,0.012,-0.071
19436000,-0.083,-0.037,0.125,0.005
19436001,-0.010,-0.027,0.198,0.056
19436002,0.154,-0.054,0.061,-0.007
19436003,0.161,0.051,0.251,-0.105
19436004,0.076,0.005,0.278,-0.095
19436005,0.049,0.024,0.195,-0.020
19436006,0.112,-0.073,0.146,-0.020
19436007,0.151,-0.007,0.198,-0.044
19436008,0.139,0.083,0.049,-0.068
19436009,0.093,0.105,0.015,-0.115
19436010,-0.117,0.029,-0.068,-0.095
19436011,-0.110,0.156,0.020,-0.027
19436012,-0.134,0.132,-0.039,0.024
19436013,-0.020,0.110,-0.120,-0.012
19436014,0.024,0.044,-0.159,-0.027
19436015,0.024,-0.105,-0.117,0.005
19436016,0.054,0.039,-0.251,0.044
19436017,-0.046,-0.051,0.325,0.115
19436018,-0.088,-0.049,-0.046,0.037
19436019,-0.015,-0.149,-0.342,-0.056
19436020,0.015,-0.076,0.151,0.020
19436021,-0.125,0.120,0.037,0.059
19436022,-0.134,0.046,-0.151,0.076
19436023,-0.203,-0.205,0.010,0.095
19436024,-0.044,-0.034,0.173,-0.002
19436025,0.159,-0.010,-0.132,-0.063
19436026,0.127,-0.032,0.059,0.017
19436027,-0.144,-0.037,-0.015,0.054
19436028,0.027,0.051,0.027,0.098
19436029,0.339,0.063,0.142,0.032
19436030,0.139,-0.173,-0.034,0.032
19436031,-0.261,-0.220,-0.034,-0.056
19436032,-0.129,-0.107,0.103,-0.071
19436033,0.193,-0.098,0.386,0.007
19436034,-0.032,-0.012,0.007,0.059
19436035,-0.044,0.093,-0.046,-0.034
19436036,0.154,0.034,0.056,-0.125
19436037,0.042,0.049,0.200,-0.093
19436038,0.090,0.078,-0.007,-0.037
19436039,0.103,-0.037,-0.103,0.012
19436040,0.068,0.034,0.103,-0.046
19436041,0.020,-0.024,0.007,-0.166
19436042,-0.107,-0.037,-0.071,-0.129
19436043,-0.010,-0.010,-0.042,-0.015
19436044,-0.315,-0.183,0.078,-0.002
19436045,-0.134,-0.188,-0.117,-0.034
19436046,0.215,-0.093,-0.027,-0.068
19436047,0.098,-0.188,0.012,-0.010
19436048,-0.103,0.032,-0.081,-0.002
19436049,-0.261,0.027,-0.344,-0.044
19436050,-0.122,-0.012,0.054,0.005
19436051,0.117,0.117,0.037,-0.024
19436052,0.027,0.127,-0.188,-0.005
19436053,-0.105,0.173,-0.093,-0.159
19436054,-0.107,0.037,0.005,-0.168
19436055,0.190,-0.020,-0.122,-0.073
19436056,0.381,0.149,-0.051,0.056
19436057,0.032,0.181,0.103,0.125
19436058,-0.144,0.093,0.042,0.007
19436059,0.142,0.132,-0.012,0.032
19436060,0.315,0.103,0.017,0.100
19436061,0.161,-0.061,0.273,0.120
19436062,-0.002,-0.046,0.183,0.142
19436063,-0.071,-0.088,0.149,0.115
19436064,-0.100,0.017,0.112,0.046
19436065,-0.117,-0.193,0.137,0.044
19436066,-0.188,-0.122,0.002,0.098
19436067,-0.081,0.071,-0.010,0.103
19436068,0.085,0.193,0.107,0.127
19436069,0.203,0.017,0.205,0.132
19436070,0.007,-0.098,-0.034,0.049
19436071,-0.076,-0.022,-0.183,-0.032
19436072,0.017,-0.171,-0.063,0.032
19436073,0.105,-0.112,-0.217,0.117
19436074,0.056,0.027,-0.286,0.061
19436075,-0.100,0.107,-0.239,-0.149
19436076,-0.208,-0.010,-0.232,-0.154
19436077,-0.154,-0.022,-0.271,-0.078
19436078,0.154,-0.081,-0.242,-0.007
19436079,0.142,0.017,-0.215,0.015
19436080,0.056,0.076,-0.203,-0.002
19436081,-0.029,0.066,-0.134,-0.142
19436082,0.029,0.115,-0.273,-0.168
19436083,0.049,-0.022,-0.125,-0.056
19436084,0.002,-0.129,-0.027,-0.010
19436085,0.032,-0.181,0.034,-0.015
19436086,-0.020,0.117,0.061,-0.068
19436087,-0.042,-0.049,0.120,-0.085
19436088,0.208,-0.269,0.088,0.027
19436089,0.239,-0.210,0.129,0.105
19436090,0.166,-0.122,0.081,0.120
19436091,0.061,-0.188,0.234,0.078
19436092,-0.103,-0.256,0.068,0.032
19436093,0.139,-0.139,-0.110,0.012
19436094,0.161,-0.054,0.144,0.073
19436095,-0.002,-0.022,0.071,0.020
19436096,-0.081,-0.166,-0.100,0.073
19436097,-0.037,-0.005,-0.222,0.112
19436098,-0.010,-0.015,-0.037,0.098
19436099,0.037,0.083,-0.134,0.046
19436100,-0.034,0.068,-0.195,0.049
19436101,0.127,0.137,-0.430,0.076
19436102,0.259,0.127,-0.215,0.085
19436103,0.090,0.090,-0.076,0.137
19436104,-0.042,0.139,-0.166,0.012
19436105,-0.076,0.085,-0.261,-0.056
19436106,0.039,0.022,-0.066,-0.015
19436107,-0.037,0.071,0.002,0.125
19436108,-0.037,0.146,-0.149,0.200
19436109,-0.278,-0.066,-0.005,0.142
19436110,-0.188,-0.054,0.063,-0.005
19436111,0.090,-0.063,0.076,0.022
19436112,0.166,0.098,0.012,0.068
19436113,-0.317,-0.120,0.139,0.137
19436114,-0.161,-0.144,0.063,0.127
19436115,0.112,0.002,0.083,0.005
19436116,0.286,-0.042,-0.032,0.054
19436117,0.039,0.002,0.117,0.049
19436118,-0.378,-0.161,0.083,-0.002
19436119,-0.029,-0.134,0.120,-0.085
19436120,0.593,-0.034,0.132,-0.029
19436121,0.310,-0.037,0.115,-0.054
19436122,-0.042,0.154,-0.056,-0.068
19436123,0.144,0.144,0.017,-0.078
19436124,0.173,-0.078,0.200,-0.090
19436125,0.303,-0.032,0.039,-0.095
19436126,0.115,0.037,0.012,-0.178
19436127,-0.076,-0.129,-0.063,-0.183
19436128,0.039,-0.142,0.068,-0.088
19436129,-0.176,-0.117,0.068,0.037
19436130,0.002,-0.098,0.007,0.032
19436131,-0.210,-0.215,0.037,-0.049
19436132,-0.247,-0.159,0.125,-0.139
19436133,-0.010,-0.234,0.005,-0.046
19436134,0.073,-0.342,-0.005,0.046
19436135,-0.134,-0.205,0.049,0.085
19436136,-0.115,-0.107,0.059,-0.051
19436137,0.061,0.020,-0.095,-0.085
19436138,0.098,0.017,-0.098,-0.110
19436139,-0.037,0.186,-0.095,-0.105
19436140,-0.020,0.129,-0.259,-0.112
19436141,0.125,0.176,-0.093,-0.115
19436142,0.281,0.132,-0.105,-0.051
19436143,0.337,0.120,-0.037,-0.017
19436144,0.090,0.190,-0.068,0.034
19436145,0.107,0.286,0.107,0.044
19436146,0.415,0.195,0.059,-0.020
19436147,0.315,-0.066,-0.046,0.015
19436148,-0.044,-0.093,0.261,0.164
19436149,-0.122,-0.181,0.332,0.178
19436150,-0.103,-0.088,0.127,0.117
19436151,-0.110,-0.178,0.127,0.132
19436152,-0.007,-0.061,0.247,0.078
19436153,-0.059,-0.076,0.200,0.166
